user_id,cluster_id
1,-1
2,46
3,-1
4,46
5,46
6,44
7,-1
8,-1
9,-1
10,-1
11,-1
12,46
13,46
14,46
15,-1
16,46
17,-1
18,-1
19,-1
20,46
21,46
22,-1
23,-1
24,-1
25,46
26,-1
27,-1
28,-1
29,17
30,46
31,46
32,-1
33,46
34,46
35,46
36,26
37,46
38,38
39,-1
40,-1
41,-1
42,-1
43,-1
44,46
45,43
46,46
47,-1
48,3
49,-1
50,46
51,46
52,46
53,46
54,46
55,-1
56,-1
57,46
58,-1
59,46
60,46
61,-1
62,-1
63,-1
64,-1
65,46
66,-1
67,46
68,30
69,46
70,46
71,46
72,46
73,-1
74,-1
75,46
76,46
77,-1
78,44
79,17
80,-1
81,46
82,-1
83,29
84,46
85,-1
86,-1
87,-1
88,-1
89,46
90,46
91,-1
92,-1
93,-1
94,20
95,-1
96,46
97,-1
98,1
99,-1
100,26
101,46
102,-1
103,46
104,46
105,46
106,-1
107,46
108,46
109,-1
110,32
111,46
112,46
113,-1
114,46
115,46
116,-1
117,46
118,-1
119,46
120,-1
121,46
122,46
123,46
124,-1
125,3
126,46
127,-1
128,47
129,46
130,-1
131,46
132,-1
133,46
134,-1
135,46
136,-1
137,46
138,46
139,-1
140,28
141,-1
142,46
143,-1
144,-1
145,-1
146,46
147,46
148,-1
149,-1
150,-1
151,-1
152,-1
153,-1
154,-1
155,-1
156,46
157,46
158,-1
159,46
160,-1
161,-1
162,46
163,46
164,46
165,-1
166,46
167,-1
168,46
169,-1
170,-1
171,0
172,-1
173,-1
174,46
175,46
176,-1
177,46
178,-1
179,46
180,-1
181,-1
182,46
183,-1
184,-1
185,46
186,-1
187,-1
188,-1
189,46
190,46
191,46
192,46
193,-1
194,-1
195,46
196,46
197,-1
198,-1
199,-1
200,-1
201,46
202,-1
203,46
204,46
205,-1
206,11
207,-1
208,46
209,-1
210,46
211,46
212,-1
213,-1
214,-1
215,46
216,-1
217,44
218,-1
219,46
220,46
221,46
222,46
223,-1
224,46
225,-1
226,46
227,-1
228,9
229,25
230,-1
231,46
232,29
233,46
234,46
235,46
236,-1
237,2
238,46
239,-1
240,-1
241,-1
242,46
243,-1
244,-1
245,46
246,46
247,46
248,46
249,46
250,46
251,-1
252,-1
253,46
254,-1
255,-1
256,33
257,-1
258,-1
259,-1
260,-1
261,46
262,46
263,-1
264,46
265,46
266,46
267,-1
268,-1
269,-1
270,-1
271,46
272,-1
273,-1
274,-1
275,46
276,46
277,46
278,-1
279,46
280,46
281,46
282,46
283,46
284,46
285,46
286,31
287,46
288,46
289,46
290,46
291,46
292,-1
293,46
294,46
295,46
296,46
297,-1
298,46
299,46
300,-1
301,-1
302,46
303,46
304,-1
305,-1
306,-1
307,46
308,-1
309,-1
310,-1
311,-1
312,14
313,46
314,46
315,46
316,-1
317,46
318,-1
319,46
320,46
321,46
322,2
323,-1
324,46
325,-1
326,-1
327,-1
328,46
329,-1
330,-1
331,46
332,-1
333,-1
334,46
335,46
336,46
337,46
338,-1
339,46
340,46
341,46
342,46
343,-1
344,25
345,46
346,46
347,-1
348,46
349,-1
350,-1
351,46
352,-1
353,46
354,46
355,-1
356,46
357,46
358,-1
359,-1
360,-1
361,-1
362,-1
363,46
364,46
365,46
366,46
367,46
368,46
369,-1
370,46
371,46
372,46
373,46
374,46
375,46
376,-1
377,-1
378,-1
379,-1
380,-1
381,46
382,46
383,-1
384,46
385,-1
386,-1
387,46
388,46
389,-1
390,46
391,46
392,-1
393,-1
394,-1
395,-1
396,-1
397,46
398,-1
399,46
400,17
401,46
402,-1
403,-1
404,-1
405,46
406,46
407,-1
408,-1
409,-1
410,-1
411,-1
412,-1
413,46
414,46
415,46
416,-1
417,-1
418,-1
419,46
420,-1
421,46
422,-1
423,-1
424,46
425,46
426,46
427,46
428,46
429,-1
430,-1
431,-1
432,-1
433,46
434,46
435,-1
436,39
437,46
438,46
439,-1
440,-1
441,46
442,46
443,46
444,46
445,46
446,46
447,-1
448,46
449,46
450,-1
451,46
452,-1
453,-1
454,46
455,17
456,46
457,-1
458,-1
459,46
460,46
461,-1
462,46
463,46
464,46
465,-1
466,46
467,-1
468,-1
469,-1
470,46
471,46
472,46
473,-1
474,5
475,46
476,47
477,-1
478,46
479,-1
480,-1
481,-1
482,46
483,-1
484,46
485,-1
486,-1
487,46
488,46
489,-1
490,-1
491,-1
492,-1
493,46
494,-1
495,46
496,-1
497,46
498,46
499,-1
500,-1
501,46
502,-1
503,46
504,46
505,-1
506,46
507,46
508,46
509,-1
510,-1
511,46
512,46
513,-1
514,42
515,46
516,-1
517,46
518,46
519,46
520,-1
521,-1
522,46
523,-1
524,18
525,46
526,-1
527,-1
528,-1
529,46
530,46
531,-1
532,46
533,46
534,-1
535,-1
536,-1
537,-1
538,-1
539,-1
540,46
541,-1
542,17
543,-1
544,46
545,-1
546,46
547,-1
548,34
549,46
550,46
551,46
552,46
553,-1
554,46
555,-1
556,-1
557,46
558,46
559,46
560,46
561,-1
562,46
563,46
