user_id,menu_id
75906,1207
75906,3723
59678,11004
59678,11526
22287,2488
22287,9628
22287,10167
22287,4483
22287,9303
22287,9981
22287,13216
22287,1426
22287,5760
48694,1150
48694,680
48694,12266
48694,5099
48694,9853
48694,2685
48694,3395
48694,11627
58476,10215
58476,12050
39452,5256
39452,6628
39452,12056
39452,11810
39452,9387
83601,10538
83601,9873
83601,10235
83601,168
83601,3096
83601,7077
83601,7840
83601,3442
23690,6640
23690,6666
23690,7443
23690,8493
23690,4011
23690,6957
23690,1559
23690,4054
23690,2961
23690,4581
93081,8652
93081,12026
93081,5770
93081,2016
93081,4630
93081,7021
87679,6742
87679,9251
77667,11101
77667,774
33084,11746
33084,1522
33084,10817
33084,3932
33084,1940
33084,11759
33084,1536
33084,8708
33084,2589
39952,10390
39952,4467
31224,10796
31224,8335
31224,3119
31224,2673
31224,8444
31224,10748
57171,6371
57171,8795
57171,8423
80307,2739
80307,10938
80307,10092
80307,13246
80307,8941
80307,2682
80307,12922
80307,824
58063,13374
95579,10705
95579,3991
95579,12757
95579,8982
95579,11123
95579,12163
95579,7061
95579,6983
95579,11084
95579,6592
78041,10471
78041,8931
78041,9786
78041,10124
27924,7031
8833,2001
8833,12626
8833,9195
8833,11779
8833,8019
8833,12690
8833,13070
14268,8092
14268,10377
14268,5638
14268,8297
14268,9111
14268,7219
14268,7528
14268,3064
58214,1702
58214,9312
53939,8053
53939,6557
53939,6354
53939,7812
53939,11376
53939,3415
53939,4032
53939,11981
53939,6674
37260,5798
37260,4780
37260,5
37260,10152
37260,12837
37260,8838
37260,11290
37260,11150
43241,2303
43241,5170
43241,4061
43241,1126
43241,8988
43241,12052
43241,5919
43241,1071
21498,2467
21498,2094
21498,1087
21498,2442
8787,9396
8787,7645
8787,1425
8787,5125
8787,5113
8787,7314
8787,6792
6591,5486
6591,9170
6591,12428
6591,9622
90747,10893
90747,3758
90747,9736
90747,6995
90747,7825
90747,10730
16860,12208
16860,3599
16860,2305
16860,3951
16860,3451
16860,13068
16860,2159
2968,10814
2968,5828
2968,12984
2968,9494
2968,12996
2968,11976
2968,7856
9182,11383
9182,2947
9182,11321
9182,5938
9182,5874
9182,1689
14806,11055
14806,3506
70164,9410
10929,1798
10929,4905
10929,5294
58198,1197
58198,3908
58198,1981
58198,11483
58198,3684
58198,11436
58198,8511
58198,1851
61381,9587
50698,9746
50698,8806
50698,1554
50698,5347
50698,11158
50698,3220
50698,10332
50698,2979
18648,8140
18648,7582
18648,12141
18648,2408
18648,13279
40076,10154
40076,11591
40076,4378
40076,602
40076,10218
40076,12002
40076,2519
40076,1848
40076,1135
40076,4670
22396,12039
22396,10016
32860,10516
32860,13405
96489,13262
96489,1529
96489,9456
96489,8207
96489,10914
96489,3241
96489,4152
96489,1044
93521,11055
93521,11319
93521,185
93521,11136
93521,1290
93521,5739
18599,1611
18599,11906
18599,7188
18599,12224
18599,557
18599,2467
84785,8184
87760,6906
87760,4698
87760,1371
87760,549
87760,1650
87760,956
73850,4036
73850,10466
73850,8838
73850,1949
73850,1878
73850,1260
73850,9145
1214,10300
1214,9958
1214,1348
1214,10400
1214,4262
1214,13221
1214,289
31405,8743
76651,8981
76651,7184
76651,11581
65459,9368
65459,13262
88841,10667
88841,12513
88841,1572
88841,11589
88841,13009
88841,3520
88841,7312
88841,6478
88841,3918
88841,12198
23089,6807
23089,10519
23089,1458
23089,7776
23089,1128
23089,9455
23089,6810
23089,12206
23089,4766
23089,8767
4194,11203
4194,3954
4194,9181
4194,12715
4194,12956
4194,12186
66393,877
66393,11713
66393,4831
66393,284
66393,9278
7117,3712
7117,11377
7117,1812
7117,4211
58093,5838
58093,1874
58093,2550
58093,7004
58093,4353
58093,9195
58093,9292
58093,6982
58093,11846
75572,240
75572,3192
75572,2801
75572,5296
75572,2155
75572,2071
75572,4186
21972,3689
21972,3020
21972,1227
21972,272
21972,724
21972,11133
97750,2821
97750,7784
97750,5276
97750,6236
23276,12409
23276,117
23276,12191
23276,11893
23276,11465
23276,6625
23276,7281
23276,9006
66339,10905
66339,2205
66339,5481
66339,8159
66339,9352
66339,9877
66339,8991
66339,422
66339,782
20377,6166
20377,7280
20377,2345
20377,3623
20377,1982
20377,9560
20377,1130
20377,6200
20377,10033
87781,9101
87781,11921
87781,11699
87781,5985
87781,9958
87781,2498
87781,2744
87781,8862
40516,8546
40516,9755
65849,12173
65849,5358
65849,10979
65849,205
65849,6626
65849,12790
85664,1062
85664,11197
85664,3633
85664,3088
85664,6219
85664,6917
85664,4326
85664,4081
85664,11177
85664,3468
12315,1762
12315,2510
41724,9078
41724,4473
41724,9860
41724,6825
41724,2025
41724,6165
41724,4259
41724,13381
41724,13233
41724,9915
20344,11991
20344,2691
20344,948
20344,6037
20344,3272
20344,5391
90889,7120
90889,8778
90889,11344
91107,3400
91107,2276
70211,5847
70211,10513
70211,1341
70211,4905
70211,4847
70211,10954
53022,10147
53022,9591
53022,13362
53022,5692
45837,5435
45837,9969
45837,12503
45837,1726
12358,10514
12358,3056
12358,8310
12358,3274
12358,7481
56661,12827
56661,2354
56661,13052
56661,7360
56661,10335
56661,9586
98297,4785
98297,6202
47508,1680
47508,6235
47508,5811
47508,10544
47508,2404
47508,11977
47508,765
47508,1571
37923,3538
827,2154
827,6311
6941,2835
6941,85
47231,3054
55747,5219
19122,491
19122,3570
19122,6253
19122,9072
19122,351
19122,5633
19122,11297
19122,8837
69116,5759
69116,2900
69116,12341
69116,12318
69116,529
69116,127
69116,4521
14804,7528
14804,13265
14804,13374
14804,9850
5412,7564
5412,10211
5412,10228
5412,10681
5412,2251
5412,11343
5412,5328
6784,7575
6784,4589
6784,1830
6784,352
6784,17
6784,13278
6784,4972
6784,6419
6784,5718
85342,12304
85342,3274
85342,1719
85342,914
85342,1479
98194,11227
98194,8972
98194,3461
98194,8146
98194,302
98194,3571
83685,10480
83685,1542
83685,8861
83685,47
83685,925
83685,876
83685,11646
83685,8600
53781,1879
53781,6604
53781,670
53781,10526
53781,3700
53781,7267
53781,12119
1846,2396
94164,5217
94164,8441
94164,6033
94164,9652
94164,2854
94164,6833
94164,8133
72783,10672
72783,9450
72783,11130
23538,3034
6203,9395
6203,6589
6203,11533
